provider,dataProvider,title,collection,description,creator,publisher,contributor,type,identifier,language,temporal,spatial,subject,date,extent,format,standardizedRights,relation,isShownAt,preview,count
Empire State Digital Network,Ogdensburg Public Library,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Indiana Memory,Eiteljorg Museum of American Indians and Western Art Library,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,134
Indiana Memory,IUPUI (Campus). University Library. Special Collections and Archives;,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Indiana Memory,International Violin Competition of Indianapolis offices,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14
Minnesota Digital Library,Laura Ingalls Wilder Museum,1.0,1.0,1.0,0.09090909090909091,0.0,0.045454545454545456,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,22
Missouri Hub,Missouri Digital Heritage,1.0,1.0,0.9913333333333333,0.51,0.0,0.0,0.0,1.0,1.0,0.0,0.029333333333333333,1.0,0.8966666666666666,0.0,0.5266666666666666,0.0,0.054,1.0,1.0,1500
North Carolina Digital Heritage Center,Davidson College,1.0,1.0,1.0,0.9012345679012346,0.0,1.0,1.0,1.0,0.7209876543209877,0.0,1.0,1.0,0.9975308641975309,0.0,1.0,0.7209876543209877,0.0,1.0,1.0,405
North Carolina Digital Heritage Center,High Point University,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,82
Ohio Digital Network,Cleveland Public Library,1.0,1.0,0.910427319211103,0.5843681519357194,0.12116508400292184,0.14618334550766984,1.0,0.6913805697589481,0.29948867786705624,0.0,0.17996712929145361,0.998082542001461,0.8693389335281227,0.03743608473338203,0.7481738495252008,1.0,0.6309349890430972,1.0,1.0,10952
South Carolina Digital Library,Barbados Museum and Historical Society,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,18
South Carolina Digital Library,Collection of John W. and Virginia B. Kemp,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3
South Carolina Digital Library,University of South Carolina. Government Information Library,1.0,0.9655172413793104,0.41379310344827586,1.0,0.0,0.27586206896551724,1.0,0.0,1.0,0.0,0.0,0.9655172413793104,0.9310344827586207,0.0,0.9310344827586207,0.0,0.5517241379310345,1.0,1.0,29
The Portal to Texas History,Armstrong County Museum,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2
The Portal to Texas History,Cherokeean Herald,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
The Portal to Texas History,Ed & Hazel Richmond Public Library,1.0,1.0,1.0,0.5508727117922521,0.9931885908897403,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4698
The Portal to Texas History,Pharr Memorial Library,1.0,1.0,1.0,1.0,0.8428633784373636,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2291
The Portal to Texas History,Sinton Public Library,1.0,1.0,1.0,0.19275210084033614,0.9191176470588235,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3808
The Portal to Texas History,Stephen F. Austin East Texas Research Center,1.0,1.0,1.0,0.34591194968553457,0.6540880503144654,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,318
Big Sky Country Digital Network,World Museum of Mining,1.0,1.0,1.0,1.0,0.9182437547312642,0.0,1.0,0.0,0.0,0.0,1.0,0.9996214988644966,0.7539742619227857,0.0,0.0817562452687358,0.8637395912187736,0.0,1.0,1.0,2642
Digital Commonwealth,Boston Public Library,1.0,1.0,0.9686693416374171,0.7087048217997427,0.24399844679117716,0.20876192506528807,1.0,1.0,0.32379074317996664,6.700116490661712E-4,0.5760653565908589,0.9786129236110582,0.9998248833189941,0.9995660151818548,1.0,0.0,1.0,1.0,1.0,131341
Digital Commonwealth,Essex Agricultural and Technical High School,1.0,1.0,0.39520958083832336,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.11976047904191617,0.9461077844311377,1.0,1.0,1.0,0.0,1.0,1.0,1.0,167
Empire State Digital Network,Palisades Free Library,1.0,1.0,1.0,0.15210355987055016,0.0970873786407767,0.10517799352750809,1.0,1.0,0.05501618122977346,0.0,0.9935275080906149,1.0,0.3673139158576052,1.0,1.0,0.0,0.5938511326860841,1.0,1.0,618
Minnesota Digital Library,Stewartville Public Library,1.0,1.0,1.0,0.07954545454545454,0.0,0.0,1.0,0.0,0.36363636363636365,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,88
Mountain West Digital Library,Provo (UT) City Library,1.0,1.0,1.0,0.5401606425702812,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9979919678714859,0.9819277108433735,0.0,0.0,0.0,1.0,1.0,498
Mountain West Digital Library,University of Utah - James E. Faust Law Library,1.0,1.0,0.9500898658924375,0.5183188165353242,0.0,0.0,0.9498133554541683,1.0,0.9397207244573482,1.3825521913452232E-4,0.9311489008710079,0.9491220793584958,0.9484308032628231,0.0,0.0,0.0,0.9482925480436887,1.0,1.0,7233
PA Digital,University of Scranton,1.0,1.0,0.6969210001928392,0.5615478562704892,0.6070579160506524,0.04133187632576975,0.9997428810181912,1.0,0.7534871761907823,0.0,0.912836665166806,1.0,0.8524779841871826,0.0,0.4470013498746545,0.0,1.0,1.0,1.0,15557
Recollection Wisconsin,Old Main Historical and Community Arts Center,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,17
Recollection Wisconsin,Villa Terrace Decorative Arts Museum,1.0,0.2727272727272727,1.0,0.6606060606060606,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,165
South Carolina Digital Library,Furman University; Limestone College,1.0,1.0,0.983739837398374,0.983739837398374,0.0,0.0,1.0,0.0,1.0,0.0,0.9959349593495935,1.0,0.9959349593495935,0.0,1.0,0.0,0.0,1.0,1.0,246
South Carolina Digital Library,Kings Mountain National Military Park,1.0,1.0,0.6508097165991903,0.00860323886639676,0.0,0.0,0.02783400809716599,0.0,0.0,0.0,0.978744939271255,0.9954453441295547,0.3173076923076923,0.0,1.0,0.0,0.0,1.0,1.0,1976
